State,Year,Quarter,District,Registered_users,Latitude,Longitude,Region
Haryana,2024,1,Karnal,741880,29.6943382,77.00424800442084,Northern Region
Haryana,2024,1,Jhajjar,638613,30.0,76.75,Northern Region
Haryana,2024,1,Palwal,630556,29.6943382,77.00424800442084,Northern Region
Haryana,2024,1,Rohtak,612619,28.8995429,76.5844714,Northern Region
Haryana,2024,2,Gurugram,4289099,28.4492944,77.03065871006021,Northern Region
Haryana,2024,2,Faridabad,2432061,28.3526818,77.2778173,Northern Region
Haryana,2024,2,Hisar,1017200,29.1699202,75.7185553,Northern Region
Haryana,2024,2,Sonipat,925604,22.79314,70.88832711034716,Northern Region
Haryana,2024,2,Rewari,882152,28.2169291,76.58118448832133,Northern Region
Haryana,2024,2,Panipat,820766,28.7312325,75.892349866212,Northern Region
Haryana,2024,2,Karnal,769577,29.6943382,77.00424800442084,Northern Region
Haryana,2024,2,Jhajjar,662778,30.0,76.75,Northern Region
Haryana,2024,2,Palwal,654617,29.6943382,77.00424800442084,Northern Region
Haryana,2024,2,Rohtak,635272,28.8995429,76.5844714,Northern Region
Haryana,2024,3,Gurugram,4264705,28.4492944,77.03065871006021,Northern Region
Haryana,2024,3,Faridabad,2263356,28.3526818,77.2778173,Northern Region
Haryana,2024,3,Sonipat,1056983,22.79314,70.88832711034716,Northern Region
Haryana,2024,3,Hisar,926328,29.1699202,75.7185553,Northern Region
Haryana,2024,3,Panipat,885898,28.7312325,75.892349866212,Northern Region
Haryana,2024,3,Rewari,817240,28.2169291,76.58118448832133,Northern Region
Haryana,2024,3,Karnal,740449,29.6943382,77.00424800442084,Northern Region
Haryana,2024,3,Jhajjar,726930,30.0,76.75,Northern Region
Haryana,2024,3,Nuh,657942,,,Northern Region
Haryana,2024,3,Palwal,643422,29.6943382,77.00424800442084,Northern Region
Haryana,2024,4,Gurugram,4394202,28.4492944,77.03065871006021,Northern Region
Haryana,2024,4,Faridabad,2323097,28.3526818,77.2778173,Northern Region
Haryana,2024,4,Sonipat,1085801,22.79314,70.88832711034716,Northern Region
Haryana,2024,4,Hisar,952421,29.1699202,75.7185553,Northern Region
Haryana,2024,4,Panipat,910441,28.7312325,75.892349866212,Northern Region
Haryana,2024,4,Rewari,838890,28.2169291,76.58118448832133,Northern Region
Haryana,2024,4,Karnal,763389,29.6943382,77.00424800442084,Northern Region
Haryana,2024,4,Jhajjar,746192,30.0,76.75,Northern Region
Haryana,2024,4,Nuh,675794,,,Northern Region
Haryana,2024,4,Palwal,661233,29.6943382,77.00424800442084,Northern Region
Himachal Pradesh,2018,1,Solan,50035,30.0,76.75,Northern Region
Himachal Pradesh,2018,1,Kangra,39016,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,1,Shimla,28214,30.75,77.5,Northern Region
Himachal Pradesh,2018,1,Mandi,26238,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2018,1,Sirmaur,15880,30.75,77.5,Northern Region
Himachal Pradesh,2018,1,Hamirpur,15614,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2018,1,Kullu,15318,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,1,Una,13234,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2018,1,Bilaspur,11975,32.0292,76.1514,Northern Region
Himachal Pradesh,2018,1,Chamba,8678,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2018,2,Solan,68950,30.0,76.75,Northern Region
Himachal Pradesh,2018,2,Kangra,54828,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,2,Shimla,38590,30.75,77.5,Northern Region
Himachal Pradesh,2018,2,Mandi,36126,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2018,2,Sirmaur,22379,30.75,77.5,Northern Region
Himachal Pradesh,2018,2,Hamirpur,21374,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2018,2,Kullu,21077,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,2,Una,18691,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2018,2,Bilaspur,16531,32.0292,76.1514,Northern Region
Himachal Pradesh,2018,2,Chamba,12259,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2018,3,Solan,88724,30.0,76.75,Northern Region
Himachal Pradesh,2018,3,Kangra,71494,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,3,Shimla,49820,30.75,77.5,Northern Region
Himachal Pradesh,2018,3,Mandi,45876,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2018,3,Sirmaur,28959,30.75,77.5,Northern Region
Himachal Pradesh,2018,3,Hamirpur,27915,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2018,3,Kullu,26840,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,3,Una,24952,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2018,3,Bilaspur,21030,32.0292,76.1514,Northern Region
Himachal Pradesh,2018,3,Chamba,16157,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2018,4,Solan,113278,30.0,76.75,Northern Region
Himachal Pradesh,2018,4,Kangra,92887,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,4,Shimla,64640,30.75,77.5,Northern Region
Himachal Pradesh,2018,4,Mandi,58526,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2018,4,Sirmaur,38194,30.75,77.5,Northern Region
Himachal Pradesh,2018,4,Hamirpur,35979,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2018,4,Kullu,34719,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2018,4,Una,32451,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2018,4,Bilaspur,26517,32.0292,76.1514,Northern Region
Himachal Pradesh,2018,4,Chamba,21538,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2019,1,Solan,139300,30.0,76.75,Northern Region
Himachal Pradesh,2019,1,Kangra,115120,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,1,Shimla,80651,30.75,77.5,Northern Region
Himachal Pradesh,2019,1,Mandi,72963,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2019,1,Sirmaur,47638,30.75,77.5,Northern Region
Himachal Pradesh,2019,1,Hamirpur,44206,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2019,1,Kullu,43436,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,1,Una,40315,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2019,1,Bilaspur,32537,32.0292,76.1514,Northern Region
Himachal Pradesh,2019,1,Chamba,27481,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2019,2,Solan,159989,30.0,76.75,Northern Region
Himachal Pradesh,2019,2,Kangra,139517,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,2,Shimla,96928,30.75,77.5,Northern Region
Himachal Pradesh,2019,2,Mandi,86701,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2019,2,Sirmaur,55409,30.75,77.5,Northern Region
Himachal Pradesh,2019,2,Kullu,51977,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,2,Hamirpur,51669,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2019,2,Una,47644,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2019,2,Bilaspur,38131,32.0292,76.1514,Northern Region
Himachal Pradesh,2019,2,Chamba,33377,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2019,3,Solan,178922,30.0,76.75,Northern Region
Himachal Pradesh,2019,3,Kangra,160161,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,3,Shimla,110575,30.75,77.5,Northern Region
Himachal Pradesh,2019,3,Mandi,98589,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2019,3,Sirmaur,62048,30.75,77.5,Northern Region
Himachal Pradesh,2019,3,Kullu,59192,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,3,Hamirpur,58950,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2019,3,Una,54164,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2019,3,Bilaspur,43115,32.0292,76.1514,Northern Region
Himachal Pradesh,2019,3,Chamba,37974,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2019,4,Solan,198962,30.0,76.75,Northern Region
Himachal Pradesh,2019,4,Kangra,181133,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,4,Shimla,124960,30.75,77.5,Northern Region
Himachal Pradesh,2019,4,Mandi,111017,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2019,4,Sirmaur,69583,30.75,77.5,Northern Region
Himachal Pradesh,2019,4,Kullu,66640,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2019,4,Hamirpur,66179,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2019,4,Una,61055,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2019,4,Bilaspur,48453,32.0292,76.1514,Northern Region
Himachal Pradesh,2019,4,Chamba,43715,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2020,1,Solan,220293,30.0,76.75,Northern Region
Himachal Pradesh,2020,1,Kangra,205367,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,1,Shimla,139890,30.75,77.5,Northern Region
Himachal Pradesh,2020,1,Mandi,124971,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2020,1,Sirmaur,77972,30.75,77.5,Northern Region
Himachal Pradesh,2020,1,Kullu,74668,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,1,Hamirpur,73945,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2020,1,Una,68564,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2020,1,Bilaspur,54024,32.0292,76.1514,Northern Region
Himachal Pradesh,2020,1,Chamba,50169,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2020,2,Solan,243732,30.0,76.75,Northern Region
Himachal Pradesh,2020,2,Kangra,235773,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,2,Shimla,156539,30.75,77.5,Northern Region
Himachal Pradesh,2020,2,Mandi,142668,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2020,2,Sirmaur,88117,30.75,77.5,Northern Region
Himachal Pradesh,2020,2,Hamirpur,84216,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2020,2,Kullu,82616,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,2,Una,78363,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2020,2,Bilaspur,61050,32.0292,76.1514,Northern Region
Himachal Pradesh,2020,2,Chamba,58362,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2020,3,Solan,265701,30.0,76.75,Northern Region
Himachal Pradesh,2020,3,Kangra,261293,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,3,Shimla,172418,30.75,77.5,Northern Region
Himachal Pradesh,2020,3,Mandi,158237,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2020,3,Sirmaur,97464,30.75,77.5,Northern Region
Himachal Pradesh,2020,3,Hamirpur,93465,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2020,3,Kullu,90699,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,3,Una,86177,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2020,3,Bilaspur,67233,32.0292,76.1514,Northern Region
Himachal Pradesh,2020,3,Chamba,65214,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2020,4,Solan,289889,30.0,76.75,Northern Region
Himachal Pradesh,2020,4,Kangra,285210,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,4,Shimla,189005,30.75,77.5,Northern Region
Himachal Pradesh,2020,4,Mandi,173403,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2020,4,Sirmaur,107144,30.75,77.5,Northern Region
Himachal Pradesh,2020,4,Hamirpur,101825,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2020,4,Kullu,99814,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2020,4,Una,93778,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2020,4,Bilaspur,73296,32.0292,76.1514,Northern Region
Himachal Pradesh,2020,4,Chamba,72124,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2021,1,Solan,312360,30.0,76.75,Northern Region
Himachal Pradesh,2021,1,Kangra,306531,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,1,Shimla,202911,30.75,77.5,Northern Region
Himachal Pradesh,2021,1,Mandi,186340,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2021,1,Sirmaur,115705,30.75,77.5,Northern Region
Himachal Pradesh,2021,1,Hamirpur,109372,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2021,1,Kullu,107536,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,1,Una,100832,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2021,1,Bilaspur,78663,32.0292,76.1514,Northern Region
Himachal Pradesh,2021,1,Chamba,77599,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2021,2,Solan,334716,30.0,76.75,Northern Region
Himachal Pradesh,2021,2,Kangra,329232,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,2,Shimla,218068,30.75,77.5,Northern Region
Himachal Pradesh,2021,2,Mandi,200277,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2021,2,Sirmaur,124764,30.75,77.5,Northern Region
Himachal Pradesh,2021,2,Hamirpur,117381,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2021,2,Kullu,115278,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,2,Una,108338,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2021,2,Bilaspur,84508,32.0292,76.1514,Northern Region
Himachal Pradesh,2021,2,Chamba,83542,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2021,3,Solan,360324,30.0,76.75,Northern Region
Himachal Pradesh,2021,3,Kangra,355274,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,3,Shimla,235163,30.75,77.5,Northern Region
Himachal Pradesh,2021,3,Mandi,216188,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2021,3,Sirmaur,134870,30.75,77.5,Northern Region
Himachal Pradesh,2021,3,Hamirpur,126753,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2021,3,Kullu,124078,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,3,Una,116973,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2021,3,Bilaspur,91291,32.0292,76.1514,Northern Region
Himachal Pradesh,2021,3,Chamba,90344,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2021,4,Solan,385901,30.0,76.75,Northern Region
Himachal Pradesh,2021,4,Kangra,380492,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,4,Shimla,251745,30.75,77.5,Northern Region
Himachal Pradesh,2021,4,Mandi,231360,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2021,4,Sirmaur,144716,30.75,77.5,Northern Region
Himachal Pradesh,2021,4,Hamirpur,135670,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2021,4,Kullu,132702,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2021,4,Una,125192,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2021,4,Bilaspur,97687,32.0292,76.1514,Northern Region
Himachal Pradesh,2021,4,Chamba,96745,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2022,1,Solan,410487,30.0,76.75,Northern Region
Himachal Pradesh,2022,1,Kangra,405048,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,1,Shimla,267642,30.75,77.5,Northern Region
Himachal Pradesh,2022,1,Mandi,246307,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2022,1,Sirmaur,154267,30.75,77.5,Northern Region
Himachal Pradesh,2022,1,Hamirpur,144434,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2022,1,Kullu,141024,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,1,Una,133249,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2022,1,Bilaspur,104121,32.0292,76.1514,Northern Region
Himachal Pradesh,2022,1,Chamba,103270,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2022,2,Solan,433753,30.0,76.75,Northern Region
Himachal Pradesh,2022,2,Kangra,427676,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,2,Shimla,282560,30.75,77.5,Northern Region
Himachal Pradesh,2022,2,Mandi,260233,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2022,2,Sirmaur,163150,30.75,77.5,Northern Region
Himachal Pradesh,2022,2,Hamirpur,152759,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2022,2,Kullu,148844,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,2,Una,140791,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2022,2,Bilaspur,110019,32.0292,76.1514,Northern Region
Himachal Pradesh,2022,2,Chamba,109087,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2022,3,Solan,457393,30.0,76.75,Northern Region
Himachal Pradesh,2022,3,Kangra,449619,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,3,Shimla,296508,30.75,77.5,Northern Region
Himachal Pradesh,2022,3,Mandi,273475,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2022,3,Sirmaur,171743,30.75,77.5,Northern Region
Himachal Pradesh,2022,3,Hamirpur,160759,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2022,3,Kullu,156387,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,3,Una,148148,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2022,3,Bilaspur,115654,32.0292,76.1514,Northern Region
Himachal Pradesh,2022,3,Chamba,114576,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2022,4,Solan,479537,30.0,76.75,Northern Region
Himachal Pradesh,2022,4,Kangra,468410,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,4,Shimla,308448,30.75,77.5,Northern Region
Himachal Pradesh,2022,4,Mandi,284425,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2022,4,Sirmaur,179223,30.75,77.5,Northern Region
Himachal Pradesh,2022,4,Hamirpur,167686,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2022,4,Kullu,162922,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2022,4,Una,154314,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2022,4,Bilaspur,120345,32.0292,76.1514,Northern Region
Himachal Pradesh,2022,4,Chamba,118985,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2023,1,Solan,501947,30.0,76.75,Northern Region
Himachal Pradesh,2023,1,Kangra,489369,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,1,Shimla,322036,30.75,77.5,Northern Region
Himachal Pradesh,2023,1,Mandi,296936,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2023,1,Sirmaur,187417,30.75,77.5,Northern Region
Himachal Pradesh,2023,1,Hamirpur,175074,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2023,1,Kullu,170048,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,1,Una,161122,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2023,1,Bilaspur,125771,32.0292,76.1514,Northern Region
Himachal Pradesh,2023,1,Chamba,124457,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2023,2,Solan,523060,30.0,76.75,Northern Region
Himachal Pradesh,2023,2,Kangra,510261,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,2,Shimla,335735,30.75,77.5,Northern Region
Himachal Pradesh,2023,2,Mandi,310048,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2023,2,Sirmaur,195687,30.75,77.5,Northern Region
Himachal Pradesh,2023,2,Hamirpur,182553,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2023,2,Kullu,177077,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,2,Una,168253,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2023,2,Bilaspur,131239,32.0292,76.1514,Northern Region
Himachal Pradesh,2023,2,Chamba,130138,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2023,3,Solan,544140,30.0,76.75,Northern Region
Himachal Pradesh,2023,3,Kangra,530786,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,3,Shimla,348966,30.75,77.5,Northern Region
Himachal Pradesh,2023,3,Mandi,322502,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2023,3,Sirmaur,203991,30.75,77.5,Northern Region
Himachal Pradesh,2023,3,Hamirpur,189913,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2023,3,Kullu,184280,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,3,Una,175125,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2023,3,Bilaspur,136648,32.0292,76.1514,Northern Region
Himachal Pradesh,2023,3,Chamba,135482,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2023,4,Solan,565485,30.0,76.75,Northern Region
Himachal Pradesh,2023,4,Kangra,551176,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,4,Shimla,362109,30.75,77.5,Northern Region
Himachal Pradesh,2023,4,Mandi,335088,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2023,4,Sirmaur,212088,30.75,77.5,Northern Region
Himachal Pradesh,2023,4,Hamirpur,197499,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2023,4,Kullu,191029,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2023,4,Una,181977,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2023,4,Bilaspur,141779,32.0292,76.1514,Northern Region
Himachal Pradesh,2023,4,Chamba,140790,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2024,1,Solan,589300,30.0,76.75,Northern Region
Himachal Pradesh,2024,1,Kangra,574721,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,1,Shimla,377256,30.75,77.5,Northern Region
Himachal Pradesh,2024,1,Mandi,349578,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2024,1,Sirmaur,221437,30.75,77.5,Northern Region
Himachal Pradesh,2024,1,Hamirpur,205849,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2024,1,Kullu,199263,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,1,Una,189642,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2024,1,Bilaspur,147931,32.0292,76.1514,Northern Region
Himachal Pradesh,2024,1,Chamba,147121,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2024,2,Solan,612920,30.0,76.75,Northern Region
Himachal Pradesh,2024,2,Kangra,597874,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,2,Shimla,392141,30.75,77.5,Northern Region
Himachal Pradesh,2024,2,Mandi,363743,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2024,2,Sirmaur,230449,30.75,77.5,Northern Region
Himachal Pradesh,2024,2,Hamirpur,214263,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2024,2,Kullu,207106,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,2,Una,197369,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2024,2,Bilaspur,153876,32.0292,76.1514,Northern Region
Himachal Pradesh,2024,2,Chamba,153070,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2024,3,Solan,582468,30.0,76.75,Northern Region
Himachal Pradesh,2024,3,Kangra,546858,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,3,Shimla,362688,30.75,77.5,Northern Region
Himachal Pradesh,2024,3,Mandi,313795,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2024,3,Sirmaur,232011,30.75,77.5,Northern Region
Himachal Pradesh,2024,3,Kullu,201527,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,3,Una,186586,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2024,3,Hamirpur,185301,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2024,3,Chamba,150902,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2024,3,Bilaspur,134086,32.0292,76.1514,Northern Region
Himachal Pradesh,2024,4,Solan,598261,30.0,76.75,Northern Region
Himachal Pradesh,2024,4,Kangra,563650,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,4,Shimla,373118,30.75,77.5,Northern Region
Himachal Pradesh,2024,4,Mandi,323407,32.5338976,76.0157454,Northern Region
Himachal Pradesh,2024,4,Sirmaur,239204,30.75,77.5,Northern Region
Himachal Pradesh,2024,4,Kullu,207921,32.213356899999994,76.32112520307928,Northern Region
Himachal Pradesh,2024,4,Una,192487,31.4674349,76.2650802,Northern Region
Himachal Pradesh,2024,4,Hamirpur,191173,31.7491333,76.5036832,Northern Region
Himachal Pradesh,2024,4,Chamba,155985,32.69301,76.16363499125694,Northern Region
Himachal Pradesh,2024,4,Bilaspur,137989,32.0292,76.1514,Northern Region
Jammu And Kashmir,2018,1,Jammu,45294,,,
Jammu And Kashmir,2018,1,Srinagar,18233,,,
Jammu And Kashmir,2018,1,Baramulla,16299,,,
Jammu And Kashmir,2018,1,Budgam,11594,,,
Jammu And Kashmir,2018,1,Anantnag,11556,,,
Jammu And Kashmir,2018,1,Udhampur,8457,,,
Jammu And Kashmir,2018,1,Pulwama,8441,,,
Jammu And Kashmir,2018,1,Kathua,8039,,,
Jammu And Kashmir,2018,1,Kupwara,7254,,,
Jammu And Kashmir,2018,1,Samba,6534,,,
Jammu And Kashmir,2018,2,Jammu,64681,,,
Jammu And Kashmir,2018,2,Srinagar,27035,,,
Jammu And Kashmir,2018,2,Baramulla,25870,,,
Jammu And Kashmir,2018,2,Budgam,17809,,,
Jammu And Kashmir,2018,2,Anantnag,16373,,,
Jammu And Kashmir,2018,2,Pulwama,12218,,,
Jammu And Kashmir,2018,2,Udhampur,12195,,,
Jammu And Kashmir,2018,2,Kathua,11778,,,
Jammu And Kashmir,2018,2,Kupwara,11482,,,
Jammu And Kashmir,2018,2,Samba,9601,,,
Jammu And Kashmir,2018,3,Jammu,86877,,,
Jammu And Kashmir,2018,3,Srinagar,35583,,,
Jammu And Kashmir,2018,3,Baramulla,31069,,,
Jammu And Kashmir,2018,3,Budgam,22301,,,
Jammu And Kashmir,2018,3,Anantnag,20234,,,
Jammu And Kashmir,2018,3,Udhampur,16058,,,
Jammu And Kashmir,2018,3,Kathua,15849,,,
Jammu And Kashmir,2018,3,Kupwara,15754,,,
Jammu And Kashmir,2018,3,Pulwama,15427,,,
Jammu And Kashmir,2018,3,Samba,13304,,,
Jammu And Kashmir,2018,4,Jammu,113005,,,
Jammu And Kashmir,2018,4,Srinagar,44328,,,
Jammu And Kashmir,2018,4,Baramulla,37661,,,
Jammu And Kashmir,2018,4,Budgam,27710,,,
Jammu And Kashmir,2018,4,Anantnag,24448,,,
Jammu And Kashmir,2018,4,Udhampur,21123,,,
Jammu And Kashmir,2018,4,Kathua,21030,,,
Jammu And Kashmir,2018,4,Kupwara,20492,,,
Jammu And Kashmir,2018,4,Pulwama,18846,,,
Jammu And Kashmir,2018,4,Samba,17595,,,
Jammu And Kashmir,2019,1,Jammu,134408,,,
Jammu And Kashmir,2019,1,Srinagar,52762,,,
Jammu And Kashmir,2019,1,Baramulla,45150,,,
Jammu And Kashmir,2019,1,Budgam,34255,,,
Jammu And Kashmir,2019,1,Anantnag,30103,,,
Jammu And Kashmir,2019,1,Kathua,25620,,,
Jammu And Kashmir,2019,1,Kupwara,25544,,,
